ortho	freq
airguilds	0
airgun	0
airguns	0
airier	0
airing	32
airless	5
airlift	10
airlifts	0
airline	311
airlines	66
airlock	37
airlocks	1
airmail	14
airman	9
airmen	31
airn	0
airnos	0
airplane	507
airplanes	151
airplop	0
airport	1710
airports	67
airs	37
airscrew	0
airshall	0
airship	30
airships	3
airsick	15
airsouth	0
airspace	81
airspeed	18
airstares	0
airstash	0
airstay	1
airstrip	55
airstrips	3
airstrums	0
airtight	52
airway	72
airways	13
airy	16
aisle	343
aisles	37
aistnale	0
aists	0
aitch	0
aitches	0
aiths	0
aits	0
aive	2
aives	0
aize	0
ajar	23
ajeqous	0
ajoin	0
akcul	0
akde	0
akes	1
akhs	0
akin	13
akrade	0
al	144
alack	3
alade	0
alamp	0
alap	0
alarm	1422
alarmed	150
alarms	152
alas	53
alaves	0
alawn	0
alb	0
albole	0
albolls	0
albs	0
album	488
albums	118
albust	0
alcas	0
alcimin	0
alcirans	0
alcove	16
alcoves	2
alder	2
alders	3
aldims	0
ale	183
alehouse	1
alert	882
alerts	13
ales	5
alesray	0
alfives	0
alfpard	0
alga	0
algae	20
alias	143
aliels	0
alien	788
aliens	433
alight	20
alights	0
align	34
aligned	39
aligns	5
alike	578
alive	7714
alked	0
alkoe	0
alks	1
all	193220
allaced	0
allah	1
allahed	0
allald	0
allaled	0
allape	0
allaps	0
allar	0
allay	16
allayed	4
allays	1
alldess	0
alldets	0
allege	11
alleged	194
alley	718
alleys	58
allied	44
allies	161
allim	0
allint	0
allired	0
allob	0
allops	0
allot	8
allots	1
allou	0
allound	0
allow	1840
allowed	2278
allows	277
alloy	50
alloyed	0
alloys	11
allsit	0
allspice	3
allude	10
allure	23
allured	1
ally	178
allye	0
almed	0
almond	35
almonds	59
almost	8491
alms	10
almstreck	0
aloe	13
aloes	1
aloft	34
aloid	0
aloiled	0
alolds	0
alone	15212
along	9089
aloof	27
alord	0
aloss	0
aloud	91
alp	1
alped	0
alpen	0
alpha	87
alphas	0
alpine	6
alping	0
alps	2
alright	1755
alsace	0
alsehorts	0
also	9336
alspouch	0
alsund	0
alsunds	0
altar	257
altars	5
alter	218
altered	215
alters	20
althos	0
although	720
alto	12
altos	3
altzed	0
alum	6
alvim	0
always	31224
alylls	0
am	52421
amah	1
amape	0
amass	3
amassed	20
amately	0
amaus	0
amaze	76
amazed	257
ambent	0
ambents	0
amber	72
ambert	0
amberts	0
ambess	0
ambessed	0
ambets	0
ambic	0
ambience	37
ambient	17
ambind	0
ambit	0
amble	5
ambled	2
ambles	0
ambling	1
ambs	1
ambush	245
ambushed	100
amcars	0
amed	0
ameg	0
amen	97
amend	32
amends	94
ameshed	0
amett	0
amhance	0
amho	0
amiance	0
amias	0
amibed	0
amid	34
amidst	28
amion	0
amiques	0
amir	3
amirs	0
amise	0
