ortho	freq
afstint	0.0
aft	1.9
after	1171.38
afters	0.21
aftus	0.0
again	562.31
against	562.08
agape	0.84
agar	0.47
agate	0.3
agates	0.05
agbuct	0.0
age	218.57
aged	47.03
ageing	12.65
ageless	0.43
agelier	0.0
agemess	0.0
agent	43.48
agents	37.54
ages	36.67
agfor	0.0
agfors	0.0
aggect	0.0
aggess	0.0
aggey	0.0
aggeys	0.0
aggraimed	0.0
aggraims	0.0
aggrieve	0.03
aggrieved	2.68
aggro	0.81
aggrues	0.0
aghast	1.7
aghect	0.0
aghonced	0.0
agift	0.0
agile	1.54
agims	0.0
agin	0.16
agincts	0.0
agive	0.0
agix	0.0
agler	0.0
aglow	0.41
ago	198.1
agog	0.3
agok	0.0
agope	0.0
agree	81.81
agreed	146.92
agrees	9.49
agright	0.0
aground	0.8
agshess	0.0
agstess	0.0
agtrain	0.0
agtrained	0.0
ague	0.32
agues	0.04
agur	0.0
ah	100.91
aha	25.83
ahead	63.09
ahoits	0.0
ahokes	0.0
ahor	0.0
ahord	0.0
ahords	0.0
ahoy	0.28
ahries	0.0
ahun	0.0
aice	0.0
aices	0.0
aicipes	0.0
aid	86.07
aide	2.77
aided	6.34
aides	2.18
aiding	1.64
aids	32.27
aier	0.0
aight	0.0
aights	0.0
ail	0.68
ailed	0.07
ailing	2.61
ailment	0.65
ailments	2.07
ailpay	0.0
ailpays	0.0
ails	0.16
aim	64.48
aimed	35.72
aiming	10.07
aimless	0.66
aims	42.07
ainfogue	0.0
ainlibes	0.0
ains	0.0
aints	0.0
aipse	0.0
aipsed	0.0
air	190.76
airbase	0.48
airbed	0.05
airborne	4.37
airbrake	0.52
airbrakes	0.77
airbus	1.98
airclaps	0.0
airclime	0.0
airclimes	0.0
airclip	0.0
aircraft	62.03
aircrew	1.0
aircrews	0.25
aircul	0.0
airdess	0.0
airdraw	0.0
airdraws	0.0
airdrome	0.0
airdrop	0.09
airdrops	0.23
aired	1.73
airedale	0.41
airfield	6.17
airfields	1.97
airflails	0.0
airflift	0.0
airflow	0.58
airforce	1.04
airframe	1.32
airframes	0.44
airgroin	0.0
airguild	0.0
airguilds	0.0
airgun	0.14
airguns	0.09
airier	0.07
airing	2.01
airless	0.53
airlift	1.13
airlifts	0.17
airline	10.7
airlines	9.22
airlock	0.68
airlocks	0.16
airmail	0.63
airman	1.04
airmen	1.63
airn	0.0
airnos	0.0
airplane	0.79
airplanes	0.29
airplop	0.0
airport	29.2
airports	4.13
airs	1.38
airscrew	0.04
airshall	0.0
airship	0.76
airships	0.39
airsick	0.02
airsouth	0.0
airspace	1.19
airspeed	0.89
airstares	0.0
airstash	0.0
airstay	0.0
airstrip	0.83
airstrips	0.21
airstrums	0.0
airtight	0.68
airway	1.22
airways	7.3
airy	2.6
aisle	4.68
aisles	1.94
aistnale	0.0
aists	0.0
aitch	0.15
aitches	0.13
aiths	0.0
aits	0.0
aive	0.0
aives	0.0
aize	0.0
ajar	1.33
ajeqous	0.0
ajoin	0.0
akcul	0.0
akde	0.0
akes	0.0
akhs	0.0
akin	4.2
akrade	0.0
al	13.57
alack	0.05
alade	0.0
alamp	0.0
alap	0.0
alarm	23.37
alarmed	7.38
alarms	3.88
alas	6.55
alaves	0.0
alawn	0.0
alb	0.19
albole	0.0
albolls	0.0
albs	0.02
album	21.67
albums	4.52
albust	0.0
alcas	0.0
alcimin	0.0
alcirans	0.0
alcove	1.51
alcoves	0.35
alder	1.51
alders	0.35
aldims	0.0
ale	6.63
alehouse	0.44
alert	16.0
alerts	0.61
ales	1.08
alesray	0.0
alfives	0.0
alfpard	0.0
alga	0.15
algae	5.88
alias	1.53
aliels	0.0
alien	12.56
aliens	3.6
alight	3.84
alights	0.13
align	1.3
aligned	3.95
aligns	0.17
alike	14.62
alive	42.54
alked	0.0
alkoe	0.0
alks	0.0
all	2624.47
allaced	0.0
allah	1.14
allahed	0.0
allald	0.0
allaled	0.0
allape	0.0
allaps	0.0
allar	0.0
allay	1.41
allayed	0.63
allays	0.06
alldess	0.0
alldets	0.0
allege	1.17
alleged	30.73
alley	6.42
alleys	1.92
allied	18.62
allies	16.37
allim	0.0
allint	0.0
allired	0.0
allob	0.0
allops	0.0
allot	0.83
allots	0.05
allou	0.0
allound	0.0
allow	114.69
allowed	143.45
allows	41.32
alloy	3.07
alloyed	0.12
alloys	1.21
allsit	0.0
allspice	0.13
allude	0.29
allure	0.69
allured	0.04
ally	8.66
allye	0.0
almed	0.0
almond	3.3
almonds	2.4
almost	315.88
alms	0.89
almstreck	0.0
aloe	0.27
aloes	0.07
aloft	2.12
aloid	0.0
aloiled	0.0
alolds	0.0
alone	132.65
along	193.35
aloof	2.36
alord	0.0
aloss	0.0
aloud	9.99
alp	1.35
alped	0.0
alpen	0.02
alpha	11.21
alphas	0.21
alpine	4.87
alping	0.0
alps	4.69
alright	83.69
alsace	1.13
alsehorts	0.0
also	1248.85
alspouch	0.0
alsund	0.0
alsunds	0.0
altar	8.95
altars	0.92
alter	19.12
altered	19.63
alters	1.93
althos	0.0
although	436.37
alto	1.74
altos	0.53
altzed	0.0
alum	0.77
alvim	0.0
always	462.28
alylls	0.0
am	268.72
amah	0.1
amape	0.0
amass	0.53
amassed	1.57
amately	0.0
amaus	0.0
amaze	0.99
amazed	10.11
ambent	0.0
ambents	0.0
amber	5.08
ambert	0.0
amberts	0.0
ambess	0.0
ambessed	0.0
ambets	0.0
ambic	0.0
ambience	1.97
ambient	1.67
ambind	0.0
ambit	1.83
amble	0.54
ambled	1.06
ambles	0.13
ambling	0.37
ambs	0.0
ambush	2.74
ambushed	1.27
amcars	0.0
amed	0.0
ameg	0.0
amen	3.25
amend	4.09
amends	1.98
ameshed	0.0
amett	0.0
amhance	0.0
amho	0.0
amiance	0.0
amias	0.0
amibed	0.0
amid	10.96
amidst	4.96
amion	0.0
amiques	0.0
amir	1.27
amirs	0.03
amise	0.0
amiss	4.83
amives	0.0
amler	0.0
amlers	0.0
amlo	0.0
amlos	0.0
ammedes	0.0
ammet	0.0
ammete	0.0
ammict	0.0
ammo	0.39
amna	0.0
amning	0.0
amns	0.0
amok	0.47
amom	0.0
among	228.64
amongst	45.52
amoubt	0.0
amount	154.29
amounts	30.17
amour	0.44
amours	0.14
amp	6.79
ampaigns	0.0
ampere	0.02
amperes	0.03
ampgrair	0.0
ampgrairs	0.0
ampist	0.0
ampiste	0.0
amplal	0.0
ample	8.22
ampler	0.04
amply	2.02
ampoule	0.05
ampoules	0.15
amps	2.06
amrays	0.0
amsha	0.0
amsice	0.0
amsine	0.0
amtan	0.0
amuck	0.04
amuse	2.3
amused	10.5
amwere	0.0
amwight	0.0
an	3440.46
anacs	0.0
anains	0.0
anal	5.29
anarms	0.0
anbet	0.0
anbrams	0.0
anceards	0.0
anced	0.0
anch	0.0
ancher	0.0
anches	0.0
anchor	6.01
anchored	2.62
anchors	0.99
anchpays	0.0
anchta	0.0
ancient	50.83
ancients	0.81
ancilled	0.0
ancing	0.0
ancoose	0.0
ancs	0.0
ancy	0.0
and	26828.78
andas	0.0
andow	0.0
andrar	0.0
andrars	0.0
anea	0.0
aneat	0.0
aneau	0.0
anebome	0.0
aned	0.0
anemns	0.0
aner	0.0
anew	1.91
anfals	0.0
anfol	0.0
angder	0.0
angders	0.0
angdete	0.0
angeing	0.0
angel	15.17
angels	7.85
anger	38.81
angered	3.47
angers	0.64
angies	0.0
angkill	0.0
angle	24.79
angled	2.87
angler	1.97
anglers	5.08
angles	12.58
angling	2.93
angrier	0.56
angrired	0.0
angry	42.26
angsits	0.0
angst	1.16
anguals	0.0
anguish	5.69
anguished	2.0
anid	0.0
anire	0.0
anired	0.0
anis	0.21
anise	0.14
ankhiles	0.0
ankicks	0.0
ankle	9.73
ankles	5.08
anklet	0.06
anklets	0.11
anks	0.0
anna	27.87
annaled	0.0
annalked	0.0
annals	1.59
annas	0.04
annatched	0.0
