ortho	freqf
aborigènes	0.07
aborigènes	0.39
abornement	0.0
abortif	0.01
abortive	0.01
abortives	0.02
abouchaient	0.0
abouchais	0.0
abouchait	0.0
abouchant	0.0
abouchements	0.0
aboucher	0.0
abouché	0.0
abouchée	0.0
abouchés	0.0
aboule	1.43
abouler	0.11
aboules	0.01
aboulez	0.25
aboulie	0.0
aboulique	0.0
abouliques	0.0
abounas	0.0
about	5.94
aboutait	0.0
abouti	0.04
abouti	1.24
aboutie	0.04
aboutie	0.04
aboutir	1.34
aboutira	0.29
aboutirai	0.0
aboutiraient	0.01
aboutirais	0.0
aboutirait	0.05
aboutiras	0.0
aboutirent	0.0
aboutirons	0.01
aboutiront	0.04
aboutis	0.03
aboutis	0.07
aboutissaient	0.15
aboutissait	0.03
aboutissant	0.0
aboutissant	0.0
aboutissants	0.09
aboutisse	0.08
aboutissement	0.5
aboutissent	0.47
aboutissez	0.02
aboutissiez	0.0
aboutissions	0.0
aboutit	1.5
aboutonnai	0.0
aboutons	0.0
aboutîmes	0.0
aboya	0.0
aboyaient	0.05
aboyait	0.33
aboyant	0.01
aboyant	0.18
aboyante	0.0
aboyer	2.39
aboyeur	0.03
aboyeur	0.05
aboyeurs	0.0
aboyeurs	0.01
aboyons	0.1
aboyèrent	0.0
aboyé	0.28
abracadabra	0.98
abracadabrant	0.03
abracadabrante	0.13
abracadabrantes	0.1
abracadabrants	0.0
abracadabré	0.01
abrasif	0.04
abrasif	0.13
abrasifs	0.01
abrasifs	0.03
abrasion	0.19
abrasive	0.04
abrasé	0.0
abraxas	0.29
abreuva	0.0
abreuvage	0.0
abreuvaient	0.0
abreuvait	0.03
abreuvant	0.01
abreuve	0.23
abreuvent	0.04
abreuver	0.48
abreuvera	0.11
abreuveraient	0.0
abreuvez	0.03
abreuvoir	0.34
abreuvoirs	0.01
abreuvons	0.01
abreuvé	0.04
abreuvé	0.0
abreuvée	0.1
abreuvés	0.04
abreuvés	0.01
abri	22.7
abri-refuge	0.0
abribus	0.04
abricot	0.08
abricot	0.5
abricotez	0.01
abricotier	0.02
abricotiers	0.0
abricotine	0.0
abricots	0.74
abris	3.2
abrita	0.02
abritai	0.0
abritaient	0.14
abritais	0.01
abritait	0.23
abritant	0.01
abritant	0.25
abrite	2.09
abritent	0.33
abriter	2.37
abritera	0.1
abriterait	0.04
abriterons	0.03
abriteront	0.01
abrites	0.14
abritez	1.08
abritiez	0.01
abritions	0.01
abritons	0.4
abritâmes	0.01
abritèrent	0.0
abrité	0.35
abrité	0.13
abritée	0.04
abritée	0.02
abritées	0.24
abrités	0.02
abrités	0.03
abrogation	0.16
abrogent	0.23
abroger	0.09
abrogé	0.11
abrogé	0.01
abrogée	0.28
abrogées	0.0
abrogés	0.01
abrupt	0.54
abrupt	0.0
abrupte	0.43
abruptement	0.07
abruptes	0.24
abrupts	0.14
abrupts	0.0
abruti	5.24
abruti	19.13
abruti	1.75
abrutie	0.27
abrutie	0.38
abrutie	0.06
abruties	0.03
abruties	0.03
abruties	0.02
abrutir	0.11
abrutira	0.0
abrutis	0.6
abrutis	6.1
abrutis	0.13
abrutissaient	0.0
abrutissais	0.0
abrutissait	0.14
abrutissant	0.0
abrutissant	0.14
abrutissante	0.0
abrutissantes	0.02
abrutissants	0.03
abrutissement	0.13
abrutissent	0.16
abrutisseur	0.0
abrutissions	0.0
abrutit	0.19
abrège	1.25
abrègent	0.22
abrégea	0.02
abrégeai	0.0
abrégeaient	0.0
abrégeait	0.0
abrégeant	0.0
abrégeons	0.12
abréger	1.61
abrégera	0.01
abrégerai	0.01
abrégerait	0.0
abrégez	0.73
abrégeât	0.0
abrégé	0.19
abrégé	0.06
abrégé	0.11
abrégée	0.05
abrégée	0.13
abrégés	0.01
abrégés	0.01
abréviatif	0.0
abréviation	0.37
abréviations	0.09
abscisse	0.02
abscission	0.0
abscons	0.12
absconse	0.0
absconses	0.0
absence	22.02
absences	0.84
absent	9.46
absent	0.82
absenta	0.0
absentai	0.0
absentaient	0.0
absentais	0.04
absentait	0.16
absentant	0.0
absente	3.49
absente	0.47
absente	1.46
absenter	2.9
absentera	0.03
absenterai	0.03
absenterait	0.0
absentes	0.06
absentes	0.01
absentes	0.07
absents	1.91
absents	0.66
absentèrent	0.0
absenté	0.89
absentée	0.42
absentéisme	0.14
absentéiste	0.01
absentéiste	0.01
absentés	0.15
abside	0.0
absides	0.0
absidiales	0.0
absidiole	0.0
absinthant	0.0
absinthe	1.28
absolu	8.55
absolu	0.74
absolue	8.44
absolues	0.2
absolument	89.79
absolus	0.06
absolus	0.04
absolution	1.06
absolutisme	0.12
absolvaient	0.0
absolvait	0.0
absolvant	0.0
absolve	0.16
absolvent	0.0
absolves	0.01
absorba	0.11
absorbables	0.0
absorbai	0.0
absorbaient	0.04
absorbais	0.0
absorbait	0.2
absorbant	0.08
absorbant	0.01
absorbant	0.06
absorbante	0.04
absorbantes	0.01
absorbants	0.01
absorbe	1.61
absorbent	0.33
absorber	1.86
absorbera	0.23
absorberai	0.02
absorberaient	0.11
absorberait	0.04
absorbeur	0.03
absorbez	0.06
absorbions	0.0
absorbons	0.0
absorbèrent	0.01
absorbé	1.35
absorbé	0.18
absorbée	0.4
absorbée	0.06
absorbées	0.07
absorbées	0.03
absorbés	0.16
absorbés	0.02
absorption	0.58
absorptions	0.0
absoudrai	0.01
absoudrait	0.14
absoudre	1.08
absoudriez	0.01
absous	1.15
absous	0.02
absout	0.11
absoute	0.0
absoute	0.0
absoute	0.0
absoutes	0.0
abstenaient	0.0
abstenais	0.01
abstenait	0.0
abstenant	0.12
abstenez	0.57
absteniez	0.01
abstenions	0.0
abstenir	1.8
abstenons	0.02
abstention	0.14
abstentionniste	0.01
abstentionnistes	0.0
abstenu	0.17
abstenue	0.05
abstenue	0.01
abstenues	0.14
abstenus	0.0
abstiendrai	0.04
abstiendraient	0.0
abstiendrais	0.03
abstiendrait	0.02
abstiendras	0.01
abstiendrions	0.0
abstiendrons	0.12
abstiendront	0.12
abstienne	0.02
abstiennent	0.02
abstiennes	0.02
abstiens	0.84
abstient	0.17
abstinence	1.6
abstinences	0.02
abstinent	0.1
abstinente	0.01
abstinrent	0.01
abstins	0.0
abstint	0.2
abstraction	0.66
abstractions	0.03
abstraire	0.02
abstrais	0.0
abstrait	0.1
abstrait	0.61
abstrait	0.49
abstraite	0.01
abstraite	0.69
abstraitement	0.0
abstraites	0.11
abstraites	0.07
abstraits	0.03
abstraits	0.25
abstraits	0.0
abstrus	0.0
abstruse	0.0
abstruses	0.0
abstînt	0.0
absurde	21.56
absurde	2.67
absurdement	0.14
absurdes	2.03
absurdes	0.02
absurdistes	0.0
absurdité	1.44
absurdités	0.9
abus	4.75
abusa	0.02
abusai	0.0
abusaient	0.04
abusais	0.03
abusait	0.53
abusant	0.24
